Name,Members,Stab,Slash,Crush,Magic atk,Ranged atk,Stab def,Slash def,Cruch def,Magic def,Ranged def,str,Ranged str,Magic str,Prayer,Weigth
3rd age bow, Pay-to-play,0,0,0,0,80,0,0,0,0,0,0,0,0,0,3.175
Abyssal bludgeon, Pay-to-play,0,0,102,0,0,0,0,0,0,0,82,0,0,0,6
Adamant 2h sword, Free-to-play,-4,43,30,-4,0,0,0,0,0,-1,44,0,0,0,4.082
Adamant halberd, Pay-to-play,28,41,0,-4,0,-1,3,4,0,0,42,0,0,0,3.628
Adamant spear#Poison, Pay-to-play,24,24,24,0,0,1,1,0,0,0,28,0,0,0,2.721
Adamant spear#Poison++, Pay-to-play,24,24,24,0,0,1,1,0,0,0,28,0,0,0,2.721
Anger spear, Pay-to-play,2,2,2,0,0,1,1,0,0,0,0,0,0,0,0.003
Armadyl godsword (or), Pay-to-play,0,132,80,0,0,0,0,0,0,0,132,0,0,8,10
Bandos godsword (or), Pay-to-play,0,132,80,0,0,0,0,0,0,0,132,0,0,8,10
Barrelchest anchor#Fixed, Pay-to-play,-2,10,92,0,0,0,0,0,0,0,100,0,0,0,30
Black 2h sword, Free-to-play,-4,27,21,-4,0,0,0,0,0,-1,26,0,0,0,3.628
Black halberd, Pay-to-play,19,25,0,-4,0,-1,2,3,0,0,20,0,0,0,3.175
Black spear#Karambwan poison, Pay-to-play,15,15,15,0,0,1,1,0,0,0,16,0,0,0,2.267
Black spear#Poison+, Pay-to-play,15,15,15,0,0,1,1,0,0,0,16,0,0,0,2.267
Black spear#Unpoisoned, Pay-to-play,15,15,15,0,0,1,1,0,0,0,16,0,0,0,2.267
Bronze claws, Pay-to-play,3,4,-4,0,0,1,2,1,0,0,5,0,0,0,0.907
Bronze spear#Karambwan poison, Pay-to-play,5,5,5,0,0,1,1,0,0,0,6,0,0,0,2.267
Bronze spear#Poison+, Pay-to-play,5,5,5,0,0,1,1,0,0,0,6,0,0,0,2.267
Bronze spear#Unpoisoned, Pay-to-play,5,5,5,0,0,1,1,0,0,0,6,0,0,0,2.267
Corrupted bow (attuned), Pay-to-play,0,0,0,0,118,0,0,0,0,0,0,88,0,1,1.814
Corrupted bow (perfected), Pay-to-play,0,0,0,0,172,0,0,0,0,0,0,138,0,3,1.814
Corrupted halberd (basic), Pay-to-play,68,68,4,0,0,0,0,0,0,0,42,0,0,1,1.814
Corrupted staff (attuned), Pay-to-play,0,0,0,128,0,0,0,0,0,0,0,0,0,2,1.36
Corrupted staff (perfected), Pay-to-play,0,0,0,184,0,0,0,0,0,0,0,0,0,3,1.36
Craw's bow#Charged, Pay-to-play,0,0,0,0,75,0,0,0,0,0,0,60,0,0,3.175
Crystal bow, Pay-to-play,0,0,0,0,100,0,0,0,0,0,0,70,0,0,1.814
Crystal bow (basic), Pay-to-play,0,0,0,0,72,0,0,0,0,0,0,42,0,1,1.814
Crystal bow (i)#2/10, Pay-to-play,0,0,0,0,100,0,0,0,0,0,0,70,0,0,2
Crystal bow (i)#4/10, Pay-to-play,0,0,0,0,100,0,0,0,0,0,0,70,0,0,2
Crystal bow (i)#6/10, Pay-to-play,0,0,0,0,100,0,0,0,0,0,0,70,0,0,2
Crystal bow (i)#8/10, Pay-to-play,0,0,0,0,100,0,0,0,0,0,0,70,0,0,2
Crystal bow (i)#Full, Pay-to-play,0,0,0,0,100,0,0,0,0,0,0,70,0,0,2
Crystal bow (perfected), Pay-to-play,0,0,0,0,172,0,0,0,0,0,0,138,0,3,1.814
Crystal halberd (attuned), Pay-to-play,114,114,12,0,0,0,0,0,0,0,88,0,0,2,1.814
Crystal halberd (i)#1/10, Pay-to-play,85,110,5,-4,0,-1,4,5,0,0,118,0,0,0,2
Crystal halberd (i)#3/10, Pay-to-play,85,110,5,-4,0,-1,4,5,0,0,118,0,0,0,2
Crystal halberd (i)#5/10, Pay-to-play,85,110,5,-4,0,-1,4,5,0,0,118,0,0,0,2
Crystal halberd (i)#7/10, Pay-to-play,85,110,5,-4,0,-1,4,5,0,0,118,0,0,0,2
Crystal halberd (i)#9/10, Pay-to-play,85,110,5,-4,0,-1,4,5,0,0,118,0,0,0,2
Crystal halberd (i)#New, Pay-to-play,85,110,5,-4,0,-1,4,5,0,0,118,0,0,0,2
Crystal staff (attuned), Pay-to-play,0,0,0,128,0,0,0,0,0,0,0,0,0,2,1.36
Crystal staff (perfected), Pay-to-play,0,0,0,184,0,0,0,0,0,0,0,0,0,3,1.36
Dark bow#Blue, Pay-to-play,0,0,0,0,95,0,0,0,0,0,0,0,0,0,1.814
Dark bow#Regular, Pay-to-play,0,0,0,0,95,0,0,0,0,0,0,0,0,0,1.814
Dark bow#Yellow, Pay-to-play,0,0,0,0,95,0,0,0,0,0,0,0,0,0,1.814
Dharok's greataxe#100, Pay-to-play,-4,103,95,-4,0,0,0,0,0,-1,105,0,0,0,3.175
Dharok's greataxe#50, Pay-to-play,-4,103,95,-4,0,0,0,0,0,-1,105,0,0,0,3.175
Dharok's greataxe#Undamaged, Pay-to-play,-4,103,95,-4,0,0,0,0,0,-1,105,0,0,0,3.175
Dragon 2h sword, Pay-to-play,-4,92,80,-4,0,0,0,0,0,-1,93,0,0,0,3.628
Dragon halberd, Pay-to-play,70,95,0,-4,0,-1,4,5,0,0,89,0,0,0,3.175
Dragon spear#Poison, Pay-to-play,55,55,55,0,0,5,5,5,5,5,60,0,0,0,2.267
Dragon spear#Poison++, Pay-to-play,55,55,55,0,0,5,5,5,5,5,60,0,0,0,2.267
Dual sai, Pay-to-play,11,8,-4,-4,0,0,0,0,0,0,14,0,0,0,1.36
Event rpg, Free-to-play,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Gadderhammer, Pay-to-play,-4,-4,35,-4,0,0,0,0,0,0,35,0,0,0,1.814
Giant present, Free-to-play,-100,-100,-50,0,0,0,0,0,0,0,-10,0,0,0,15
Gilded spade, Free-to-play,-100,-100,-50,0,0,0,0,0,0,0,-10,0,0,0,3
Granite maul (or)#Normal, Pay-to-play,0,0,81,0,0,0,0,0,0,0,79,0,0,0,4.535
Granite maul#Normal, Pay-to-play,0,0,81,0,0,0,0,0,0,0,79,0,0,0,4.535
Guthan's warspear#(broken), Pay-to-play,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.267
Guthan's warspear#25, Pay-to-play,75,75,75,0,0,7,7,7,0,0,75,0,0,0,2.267
Guthan's warspear#75, Pay-to-play,75,75,75,0,0,7,7,7,0,0,75,0,0,0,2.267
Guthix mjolnir, Pay-to-play,0,0,11,0,0,0,0,0,0,0,14,0,0,0,2.267
Heavy casket, Pay-to-play,-4,-4,11,-4,0,0,0,0,0,0,9,0,0,0,15
Iron 2h sword, Free-to-play,-4,13,10,-4,0,0,0,0,0,-1,14,0,0,0,3.628
Iron halberd, Pay-to-play,9,12,0,-4,0,-1,1,2,0,0,12,0,0,0,3.175
Iron spear#Poison, Pay-to-play,8,8,8,0,0,1,1,0,0,0,10,0,0,0,2.267
