Name,Member,StabAtk,SlashAtk,CrushAtk,MagicAtk,RangedAtk,StabDef,SlashDef,CrushDef,MagicDef,RangedDef,MeleStr,RangedStr,MagicStr,Prayer,Weigth,Speed
Adamant arrow,Free-to-play,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0
Adamant bolts,Members,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0
Adamant brutal,Members,0,0,0,0,0,0,0,0,0,0,0,45,0,0,0,0
Adamant javelin,Members,0,0,0,0,0,0,0,0,0,0,0,107,0,0,0,0
Amethyst arrow,Members,0,0,0,0,0,0,0,0,0,0,0,55,0,0,0,0
Amethyst broad bolts,Members,0,0,0,0,0,0,0,0,0,0,0,115,0,0,0,0
Amethyst javelin,Members,0,0,0,0,0,0,0,0,0,0,0,135,0,0,0,0
Ancient blessing,Members,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.51,0
Barbed arrow,Members,0,0,0,0,46,0,0,0,0,0,0,125,0,0,0,0
Barbed bolts,Members,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0
Black brutal,Members,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0
Blunt arrow,Members,0,0,0,0,46,0,0,0,0,0,0,125,0,0,0,0
Blurite bolts,Members,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0
Bolt rack,Members,0,0,0,0,0,0,0,0,0,0,0,55,0,0,0,0
Bone bolts,Members,0,0,0,0,0,0,0,0,0,0,0,49,0,0,0,0
Broad arrows,Members,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0
Broad bolts,Members,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0
Bronze arrow,Free-to-play,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0
Bronze bolts,Free-to-play,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0
Bronze brutal,Members,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0
Bronze javelin,Members,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0
Bullet arrow,Members,0,0,0,0,46,0,0,0,0,0,0,125,0,0,0,0
Diamond bolts,Members,0,0,0,0,0,0,0,0,0,0,0,105,0,0,0,0
Diamond dragon bolts,Members,0,0,0,0,0,0,0,0,0,0,0,122,0,0,0,0
Dragon arrow,Members,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0,0
Dragon bolts,Members,0,0,0,0,0,0,0,0,0,0,0,122,0,0,0,0
Dragon javelin,Members,0,0,0,0,0,0,0,0,0,0,0,150,0,0,0,0
Dragonstone bolts,Members,0,0,0,0,0,0,0,0,0,0,0,117,0,0,0,0
Dragonstone dragon bolts,Members,0,0,0,0,0,0,0,0,0,0,0,122,0,0,0,0
Emerald bolts,Members,0,0,0,0,0,0,0,0,0,0,0,85,0,0,0,0
Emerald dragon bolts,Members,0,0,0,0,0,0,0,0,0,0,0,122,0,0,0,0
Field arrow,Members,0,0,0,0,46,0,0,0,0,0,0,125,0,0,0,0
Guam tar,Members,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0
Harralander tar,Members,0,0,0,0,0,0,0,0,0,0,0,49,0,0,0,0
Holy blessing,Members,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.51,0
Honourable blessing,Members,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.51,0
Ice arrows,Members,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0
