Name,Member,StabAtk,SlashAtk,CrushAtk,MagicAtk,RangedAtk,StabDef,SlashDef,CrushDef,MagicDef,RangedDef,MeleStr,RangedStr,MagicStr,Prayer,Weigth,Speed
3rd age druidic robe top,Members,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1.5,0
3rd age platebody,Members,0,0,0,-20,0,96,108,113,-4,97,0,0,0,0,9.979,0
3rd age range top,Members,0,0,0,-15,30,55,47,60,60,55,0,0,0,0,4,0
3rd age robe top,Members,0,0,0,24,0,0,0,0,24,0,0,0,0,0,2.7,0
Adamant chainbody,Free-to-play,0,0,0,-15,0,36,50,61,-3,38,0,0,0,0,7.711,0
Adamant platebody,Free-to-play,0,0,0,-30,-10,65,63,55,-6,63,0,0,0,0,11.339,0
Adamant platebody (g),Free-to-play,0,0,0,-30,-10,65,63,55,-6,63,0,0,0,0,11.339,0
Adamant platebody (h1),Free-to-play,0,0,0,-30,-10,65,63,55,-6,63,0,0,0,0,11.339,0
Adamant platebody (h2),Free-to-play,0,0,0,-30,-10,65,63,55,-6,63,0,0,0,0,11.339,0
Adamant platebody (h3),Free-to-play,0,0,0,-30,-10,65,63,55,-6,63,0,0,0,0,11.339,0
Adamant platebody (h4),Free-to-play,0,0,0,-30,-10,65,63,55,-6,63,0,0,0,0,11.339,0
Adamant platebody (h5),Free-to-play,0,0,0,-30,-10,65,63,55,-6,63,0,0,0,0,11.339,0
Adamant platebody (t),Free-to-play,0,0,0,-30,-10,65,63,55,-6,63,0,0,0,0,11.339,0
Ahrim's robetop (broken),Members,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.535,0
Ahrim's robetop 100,Members,0,0,0,30,-10,52,37,63,30,0,0,0,0,0,4.535,0
Ahrim's robetop 25,Members,0,0,0,30,-10,52,37,63,30,0,0,0,0,0,4.535,0
Ahrim's robetop 50,Members,0,0,0,30,-10,52,37,63,30,0,0,0,0,0,4.535,0
Ahrim's robetop 75,Members,0,0,0,30,-10,52,37,63,30,0,0,0,0,0,4.535,0
Ahrim's robetop Undamaged,Members,0,0,0,30,-10,52,37,63,30,0,0,0,0,0,4.535,0
Ancestral robe top,Members,0,0,0,35,-8,42,31,51,28,0,0,0,2,0,2.721,0
Ancient d'hide body,Members,0,0,0,-15,30,55,47,60,50,55,0,0,0,1,6,0
Ancient platebody,Free-to-play,0,0,0,-30,-10,82,80,72,-6,80,0,0,0,1,9.979,0
Ancient robe top,Members,0,0,0,4,0,0,0,0,4,0,0,0,0,6,0.005,0
Angler top,Members,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Ankou top,Members,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0
Antisanta jacket,Free-to-play,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0
Ardougne knight platebody,Members,0,0,0,-30,-10,21,20,12,-6,20,0,0,0,0,9.979,0
Armadyl chestplate,Members,-7,-7,-7,-15,33,56,48,61,70,57,0,0,0,1,4,0
Armadyl d'hide body,Members,0,0,0,-15,30,55,47,60,50,55,0,0,0,1,6,0
Armadyl platebody,Free-to-play,0,0,0,-30,-10,82,80,72,-6,80,0,0,0,1,9.979,0
Armadyl robe top,Members,0,0,0,4,0,0,0,0,4,0,0,0,0,6,1.8,0
Bandos chestplate,Members,0,0,0,-15,-10,98,93,105,-6,133,4,0,0,1,12,0
Bandos d'hide body,Members,0,0,0,-15,30,55,47,60,50,55,0,0,0,1,6,0
Bandos platebody,Free-to-play,0,0,0,-30,-10,82,80,72,-6,80,0,0,0,1,9.979,0
Bandos robe top,Members,0,0,0,4,0,0,0,0,4,0,0,0,0,6,1.8,0
Banshee top,Free-to-play,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9,0
Black chainbody,Free-to-play,0,0,0,-15,0,22,32,39,-3,24,0,0,0,0,6.803,0
Black d'hide body,Members,0,0,0,-15,30,55,47,60,50,55,0,0,0,0,6.803,0
Black d'hide body (g),Members,0,0,0,-15,30,55,47,60,50,55,0,0,0,0,6.803,0
Black d'hide body (t),Members,0,0,0,-15,30,55,47,60,50,55,0,0,0,0,6.803,0
Black desert shirt,Members,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.907,0
Black elegant shirt,Members,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Black naval shirt,Members,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003,0
Black platebody,Free-to-play,0,0,0,-30,-10,41,40,30,-6,40,0,0,0,0,9.979,0
Black platebody (g),Free-to-play,0,0,0,-30,-10,41,40,30,-6,40,0,0,0,0,9.979,0
Black platebody (h1),Free-to-play,0,0,0,-30,-10,41,40,30,-6,40,0,0,0,0,9.979,0
Black platebody (h2),Free-to-play,0,0,0,-30,-10,41,40,30,-6,40,0,0,0,0,9.979,0
Black platebody (h3),Free-to-play,0,0,0,-30,-10,41,40,30,-6,40,0,0,0,0,9.979,0
Black platebody (h4),Free-to-play,0,0,0,-30,-10,41,40,30,-6,40,0,0,0,0,9.979,0
Black platebody (h5),Free-to-play,0,0,0,-30,-10,41,40,30,-6,40,0,0,0,0,9.979,0
Black platebody (t),Free-to-play,0,0,0,-30,-10,41,40,30,-6,40,0,0,0,0,9.979,0
Black robe,Free-to-play,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0.907,0
Black wizard robe (g),Free-to-play,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0.907,0
Black wizard robe (t),Free-to-play,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0.907,0
Blue d'hide body,Members,0,0,0,-15,20,45,37,50,30,45,0,0,0,0,6.803,0
Blue d'hide body (g),Members,0,0,0,-15,20,45,37,50,30,45,0,0,0,0,6.803,0
Blue d'hide body (t),Members,0,0,0,-15,20,45,37,50,30,45,0,0,0,0,6.803,0
Blue elegant blouse,Members,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Blue elegant shirt,Members,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Blue naval shirt,Members,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003,0
Blue robe top,Members,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0.907,0
Blue wizard robe,Free-to-play,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0.907,0
Blue wizard robe (g),Free-to-play,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0.907,0
Blue wizard robe (t),Free-to-play,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0.907,0
Bob's black shirt,Members,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Bob's blue shirt,Members,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Bob's green shirt,Members,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Bob's purple shirt,Members,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Bob's red shirt,Members,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Bomber jacket,Members,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0
Bronze chainbody,Free-to-play,0,0,0,-15,0,7,11,13,-3,9,0,0,0,0,6.803,0
Bronze platebody,Free-to-play,0,0,0,-30,-10,15,14,9,-6,14,0,0,0,0,9.979,0
Bronze platebody (g),Free-to-play,0,0,0,-30,-10,15,14,9,-6,14,0,0,0,0,9.979,0
Bronze platebody (t),Free-to-play,0,0,0,-30,-10,15,14,9,-6,14,0,0,0,0,9.979,0
Brown apron,Free-to-play,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.453,0
Brown naval shirt,Members,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003,0
Builder's shirt,Members,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9,0
Bunny top,Free-to-play,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.907,0
Camo top,Free-to-play,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.721,0
Carnillean armour,Members,0,0,0,0,0,20,14,8,0,0,0,0,0,0,9.071,0
Chicken wings,Free-to-play,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0
Citizen top,Members,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0.907,0
