Type,Name,Member,Weigth,StabAtk,SlashAtk,CrushAtk,MagicAtk,RangedAtk,StabDef,SlashDef,CrushDef,MagicDef,RangedDef,MeleStr,RangedStr,MagicStr,Prayer,Speed
Equipment,3rd age druidic robe top,Members,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0
Equipment,3rd age platebody,Members,9.979,0,0,0,-20,0,96,108,113,-4,97,0,0,0,0,0
Equipment,3rd age range top,Members,4,0,0,0,-15,30,55,47,60,60,55,0,0,0,0,0
Equipment,3rd age robe top,Members,2.7,0,0,0,24,0,0,0,0,24,0,0,0,0,0,0
Equipment,Adamant chainbody,Free-to-play,7.711,0,0,0,-15,0,36,50,61,-3,38,0,0,0,0,0
Equipment,Adamant platebody,Free-to-play,11.339,0,0,0,-30,-10,65,63,55,-6,63,0,0,0,0,0
Equipment,Adamant platebody (g),Free-to-play,11.339,0,0,0,-30,-10,65,63,55,-6,63,0,0,0,0,0
Equipment,Adamant platebody (h1),Free-to-play,11.339,0,0,0,-30,-10,65,63,55,-6,63,0,0,0,0,0
Equipment,Adamant platebody (h2),Free-to-play,11.339,0,0,0,-30,-10,65,63,55,-6,63,0,0,0,0,0
Equipment,Adamant platebody (h3),Free-to-play,11.339,0,0,0,-30,-10,65,63,55,-6,63,0,0,0,0,0
Equipment,Adamant platebody (h4),Free-to-play,11.339,0,0,0,-30,-10,65,63,55,-6,63,0,0,0,0,0
Equipment,Adamant platebody (h5),Free-to-play,11.339,0,0,0,-30,-10,65,63,55,-6,63,0,0,0,0,0
Equipment,Adamant platebody (t),Free-to-play,11.339,0,0,0,-30,-10,65,63,55,-6,63,0,0,0,0,0
Equipment,Ahrim's robetop (broken),Members,4.535,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Equipment,Ahrim's robetop 100,Members,4.535,0,0,0,30,-10,52,37,63,30,0,0,0,0,0,0
Equipment,Ahrim's robetop 25,Members,4.535,0,0,0,30,-10,52,37,63,30,0,0,0,0,0,0
Equipment,Ahrim's robetop 50,Members,4.535,0,0,0,30,-10,52,37,63,30,0,0,0,0,0,0
Equipment,Ahrim's robetop 75,Members,4.535,0,0,0,30,-10,52,37,63,30,0,0,0,0,0,0
Equipment,Ahrim's robetop Undamaged,Members,4.535,0,0,0,30,-10,52,37,63,30,0,0,0,0,0,0
Equipment,Ancestral robe top,Members,2.721,0,0,0,35,-8,42,31,51,28,0,0,0,2,0,0
Equipment,Ancient d'hide body,Members,6,0,0,0,-15,30,55,47,60,50,55,0,0,0,1,0
Equipment,Ancient platebody,Free-to-play,9.979,0,0,0,-30,-10,82,80,72,-6,80,0,0,0,1,0
Equipment,Ancient robe top,Members,0.005,0,0,0,4,0,0,0,0,4,0,0,0,0,6,0
