Type,Name,Member,Weigth,StabAtk,SlashAtk,CrushAtk,MagicAtk,RangedAtk,StabDef,SlashDef,CrushDef,MagicDef,RangedDef,MeleStr,RangedStr,MagicStr,Prayer,Speed
Cape,3rd age cloak,Members,0.005,0,0,0,0,0,9,9,9,9,9,0,0,0,5,0
Cape,3rd age druidic cloak,Members,0.4,0,0,0,1,0,3,3,3,3,3,0,0,0,3,0
Cape,Accumulator max cape,Members,0.453,0,0,0,0,4,0,1,0,4,0,0,0,0,0,0
Cape,Achievement diary (t),Members,0.453,0,0,0,0,0,9,9,9,9,9,0,0,0,4,0
Cape,Achievement diary cape ,Members,0.453,0,0,0,0,0,9,9,9,9,9,0,0,0,4,0
Cape,Agility cape(t),Members,0.453,0,0,0,0,0,9,9,9,9,9,0,0,0,4,0
Cape,Agility cape,Members,0.453,0,0,0,0,0,9,9,9,9,9,0,0,0,0,0
Cape,Ancient cloak,Members,0.003,0,0,0,1,0,3,3,3,3,3,0,0,0,3,0
Cape,Ardougne cloak 1,Members,0.453,2,0,0,2,0,2,0,0,2,0,0,0,0,2,0
Cape,Ardougne cloak 2,Members,0.453,4,0,0,4,0,4,0,0,4,0,0,0,0,4,0
Cape,Ardougne cloak 3,Members,0.453,5,0,0,5,0,5,0,0,5,0,0,0,0,5,0
Cape,Ardougne cloak 4,Members,0.453,6,0,0,6,0,6,0,0,6,0,0,0,0,6,0
Cape,Ardougne max cape,Members,0.453,6,0,0,6,0,6,0,0,6,0,0,0,0,6,0
Cape,Armadyl cloak,Members,0.4,0,0,0,1,0,3,3,3,3,3,0,0,0,3,0
Cape,Assembler max cape,Members,0.453,0,0,0,0,8,1,1,1,8,2,0,2,0,0,0
Cape,Attack cape(t),Members,0.453,0,0,0,0,0,9,9,9,9,9,0,0,0,4,0
Cape,Attack cape,Members,0.453,0,0,0,0,0,9,9,9,9,9,0,0,0,0,0
Cape,Ava's accumulator,Members,4.535,0,0,0,0,4,0,1,0,4,0,0,0,0,0,0
Cape,Ava's assembler,Members,5.896,0,0,0,0,8,1,1,1,8,2,0,2,0,0,0
Cape,Ava's attractor,Members,4.535,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0
Cape,Bandos cloak,Members,0.4,0,0,0,1,0,3,3,3,3,3,0,0,0,3,0
Cape,Black cape,Free-to-play,0.453,0,0,0,0,0,0,1,1,0,2,0,0,0,0,0
Cape,Blue cape,Free-to-play,0.453,0,0,0,0,0,0,1,1,0,2,0,0,0,0,0
Cape,Bonesack,Members,0.003,0,0,0,0,0,4,4,4,4,4,0,0,0,0,0
Cape,Bow and arrow,Members,1.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
Cape,Cabbage cape,Free-to-play,0.453,0,0,0,0,0,0,1,1,0,2,0,0,0,0,0
Cape,Cape of legends,Members,1.814,0,0,0,0,0,7,7,7,7,7,0,0,0,0,0
Cape,Cape of skulls,Members,0.453,0,0,0,0,0,9,9,9,9,9,0,0,0,0,0
Cape,Castlewars cloak (Saradomin),Free-to-play,0.453,0,0,0,0,0,0,1,1,0,2,0,0,0,0,0
Cape,Castlewars cloak (Zamorak),Free-to-play,0.453,0,0,0,0,0,0,1,1,0,2,0,0,0,0,0
Cape,Champion's cape,Members,0.453,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cape,Clockwork suit,Members,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cape,Clue hunter cloak,Members,1,0,0,0,0,0,0,1,1,0,2,0,0,0,0,0
Cape,Construct. cape(t),Members,0.453,0,0,0,0,0,9,9,9,9,9,0,0,0,4,0
Cape,Construct. cape,Members,0.453,0,0,0,0,0,9,9,9,9,9,0,0,0,0,0
Cape,Cooking cape(t),Members,0.453,0,0,0,0,0,9,9,9,9,9,0,0,0,4,0
Cape,Cooking cape,Members,0.453,0,0,0,0,0,9,9,9,9,9,0,0,0,0,0
Cape,Crafting cape(t),Members,0.453,0,0,0,0,0,9,9,9,9,9,0,0,0,4,0
Cape,Crafting cape,Members,0.453,0,0,0,0,0,9,9,9,9,9,0,0,0,0,0
Cape,Deadman's cape Cosmetic,Free-to-play,0.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cape,Deadman's cape Deadman_mode,Members,0.453,0,0,0,0,0,0,1,1,0,2,0,0,0,0,0
Cape,Decorative armour (quiver),Members,8.164,0,0,0,0,0,4,4,4,4,4,0,0,0,0,0
Cape,Defence cape(t),Members,0.453,0,0,0,0,0,9,9,9,9,9,0,0,0,4,0
Cape,Defence cape,Members,0.453,0,0,0,0,0,9,9,9,9,9,0,0,0,0,0
Cape,Diving apparatus,Members,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cape,Diving apparatus (2017 Halloween event),Free-to-play,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cape,Eagle cape,Members,0.226,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cape,Explorer backpack,Members,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cape,Farming cape(t),Members,0.453,0,0,0,0,0,9,9,9,9,9,0,0,0,4,0
Cape,Farming cape,Members,0.453,0,0,0,0,0,9,9,9,9,9,0,0,0,0,0
Cape,Fire cape,Members,1.814,1,1,1,1,1,11,11,11,11,11,4,0,0,2,0
Cape,Fire max cape,Members,0.453,1,1,1,1,1,11,11,11,11,11,4,0,0,2,0
Cape,Firemaking cape(t),Members,0.453,0,0,0,0,0,9,9,9,9,9,0,0,0,4,0
Cape,Firemaking cape,Members,0.453,0,0,0,0,0,9,9,9,9,9,0,0,0,0,0
Cape,Fish sack,Members,2.267,0,0,0,0,0,0,1,1,0,2,0,0,0,0,0
Cape,Fishing cape(t),Members,0.453,0,0,0,0,0,9,9,9,9,9,0,0,0,4,0
Cape,Fishing cape,Members,0.453,0,0,0,0,0,9,9,9,9,9,0,0,0,0,0
Cape,Fletching cape(t),Members,0.453,0,0,0,0,0,9,9,9,9,9,0,0,0,4,0
Cape,Fletching cape,Members,0.453,0,0,0,0,0,9,9,9,9,9,0,0,0,0,0
Cape,Fremennik black cloak,Members,0.453,0,0,0,0,0,0,1,1,0,2,0,0,0,0,0
Cape,Fremennik blue cloak,Members,0.453,0,0,0,0,0,0,1,1,0,2,0,0,0,0,0
Cape,Fremennik brown cloak,Members,0.453,0,0,0,0,0,0,1,1,0,2,0,0,0,0,0
Cape,Fremennik cyan cloak,Members,0.453,0,0,0,0,0,0,1,1,0,2,0,0,0,0,0
Cape,Fremennik green cloak,Members,0.453,0,0,0,0,0,0,1,1,0,2,0,0,0,0,0
Cape,Fremennik grey cloak,Members,0.453,0,0,0,0,0,0,1,1,0,2,0,0,0,0,0
Cape,Fremennik pink cloak,Members,0.453,0,0,0,0,0,0,1,1,0,2,0,0,0,0,0
Cape,Fremennik purple cloak,Members,0.453,0,0,0,0,0,0,1,1,0,2,0,0,0,0,0
Cape,Fremennik red cloak,Members,0.453,0,0,0,0,0,0,1,1,0,2,0,0,0,0,0
Cape,Fremennik teal cloak,Members,0.453,0,0,0,0,0,0,1,1,0,2,0,0,0,0,0
Cape,Fremennik yellow cloak,Members,0.453,0,0,0,0,0,0,1,1,0,2,0,0,0,0,0
Cape,Gauntlet cape,Members,0.453,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cape,Ghostly cloak,Members,0.001,0,0,0,5,0,0,0,0,5,0,0,0,0,0,0
Cape,Graceful cape Agility_Arena,Members,0.453,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cape,Graceful cape Arceuus,Members,0.453,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cape,Graceful cape Hallowed_Sepulchre,Members,0.453,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cape,Graceful cape Hosidius,Members,0.453,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cape,Graceful cape Kourend,Members,0.453,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cape,Graceful cape Lovakengj,Members,0.453,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cape,Graceful cape Piscarilius,Members,0.453,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cape,Graceful cape Regular,Members,0.453,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cape,Graceful cape Shayzien,Members,0.453,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cape,Grain (Recruitment Drive),Members,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cape,Green cape,Free-to-play,0.453,0,0,0,0,0,0,1,1,0,2,0,0,0,0,0
Cape,Guthix cape,Members,0.453,0,0,0,10,0,1,1,2,10,0,0,0,0,0,0
Cape,Guthix cloak,Members,0.4,0,0,0,1,0,3,3,3,3,3,0,0,0,3,0
Cape,Guthix max cape,Members,0.453,0,0,0,10,0,1,1,2,10,0,0,0,0,0,0
Cape,Ham cloak,Members,0.453,0,0,0,0,0,0,1,1,0,2,0,0,0,0,0
Cape,Herblore cape(t),Members,0.453,0,0,0,0,0,9,9,9,9,9,0,0,0,4,0
