Type,Name,Member,Weigth,StabAtk,SlashAtk,CrushAtk,MagicAtk,RangedAtk,StabDef,SlashDef,CrushDef,MagicDef,RangedDef,MeleStr,RangedStr,MagicStr,Prayer,Speed
Equipment,Adamant boots,Members,1.36,0,0,0,-3,-1,10,11,12,0,0,1,0,0,0,0
Equipment,Ancient d'hide boots,Members,1.4,0,0,0,-10,7,4,4,4,4,4,0,0,0,1,0
Equipment,Angler boots,Members,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Equipment,Ankou socks,Members,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Equipment,Antisanta boots,Free-to-play,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Equipment,Armadyl d'hide boots,Members,1.4,0,0,0,-10,7,4,4,4,4,4,0,0,0,1,0
Equipment,Bandos boots,Members,6,0,0,0,-5,-3,17,18,19,0,15,0,0,0,1,0
Equipment,Bandos d'hide boots,Members,1.4,0,0,0,-10,7,4,4,4,4,4,0,0,0,1,0
Equipment,Bear feet,Free-to-play,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Equipment,Black boots,Members,1.36,0,0,0,-3,-1,7,8,9,0,0,0,0,0,0,0
Equipment,Blue boots,Members,0.34,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
Equipment,Boots of brimstone,Members,3.175,3,0,0,3,5,10,10,10,5,5,0,0,0,0,0
Equipment,Boots of darkness,Members,0.453,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0
Equipment,Boots of lightness,Members,,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0
Equipment,Boots of stone,Members,3.175,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0
Equipment,Bronze boots,Members,1.36,0,0,0,-3,-1,1,2,3,0,0,0,0,0,0,0
Equipment,Builder's boots,Members,0.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Equipment,Bunny feet,Free-to-play,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Equipment,Chicken feet,Free-to-play,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Equipment,Citizen shoes,Members,0.907,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0
Equipment,Climbing boots,Members,0.34,0,0,0,0,0,0,2,2,0,0,2,0,0,0,0
Equipment,Climbing boots (g),Members,0.34,0,0,0,0,0,0,2,2,0,0,2,0,0,0,0
Equipment,Clown shoes,Free-to-play,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Equipment,Clue hunter boots,Members,0.7,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
Equipment,Cow shoes,Free-to-play,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
