Type,Name,Member,Weigth,StabAtk,SlashAtk,CrushAtk,MagicAtk,RangedAtk,StabDef,SlashDef,CrushDef,MagicDef,RangedDef,MeleStr,RangedStr,MagicStr,Prayer,Speed
Hands,3rd age vambraces,Members,1,0,0,0,-10,11,6,5,7,9,0,0,0,0,0,0
Hands,Abyssal bracelet,Members,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hands,Adamant gloves,Members,0.226,7,7,7,4,7,7,7,7,4,7,7,0,0,0,0
Hands,Ancient bracers,Members,1,0,0,0,-10,11,6,5,7,8,0,0,0,0,1,0
Hands,Ankou gloves,Members,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hands,Antisanta gloves,Free-to-play,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hands,Armadyl bracers,Members,1,0,0,0,-10,11,6,5,7,8,0,0,0,0,1,0
Hands,Bandos bracers,Members,1,0,0,0,-10,11,6,5,7,8,0,0,0,0,1,0
Hands,Barrows gloves,Members,0.226,12,12,12,6,12,12,12,12,6,12,12,0,0,0,0
Hands,Black d'hide vambraces,Members,0.283,0,0,0,-10,11,6,5,7,8,0,0,0,0,0,0
Hands,Black gloves,Members,0.226,5,5,5,3,5,5,5,5,3,5,5,0,0,0,0
Hands,Black spiky vambraces,Members,0.283,0,0,0,-10,11,6,5,7,8,0,2,0,0,0,0
Hands,Blue d'hide vambraces,Members,0.283,0,0,0,-10,9,4,3,5,4,0,0,0,0,0,0
Hands,Blue spiky vambraces,Members,0.283,0,0,0,-10,9,4,3,5,4,0,2,0,0,0,0
Hands,Bracelet of clay,Members,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hands,Bracelet of ethereum Charged,Members,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hands,Bracelet of ethereum Uncharged,Members,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hands,Bracelet of slaughter,Members,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hands,Bronze gloves,Members,0.226,2,2,2,1,2,2,2,2,1,2,2,0,0,0,0
Hands,Bunny paws,Free-to-play,0.113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hands,Castle wars bracelet,Free-to-play,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hands,Chaos gauntlets,Members,0.226,2,2,2,0,0,8,9,7,0,0,2,0,0,0,0
Hands,Clue hunter gloves,Members,0.5,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0
Hands,Combat bracelet,Members,0.25,7,7,7,3,7,5,5,5,3,5,6,0,0,0,0
Hands,Combat bracelet Uncharged,Members,0.25,7,7,7,3,7,5,5,5,3,5,6,0,0,0,0
Hands,Cooking gauntlets,Members,0.226,2,2,2,0,0,8,9,7,0,0,2,0,0,0,0
Hands,Cow gloves,Free-to-play,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hands,Crab claw,Members,0.907,0,0,0,0,0,3,4,2,0,0,1,0,0,0,0
Hands,Crabclaw hook,Members,1,0,0,0,0,0,3,5,3,0,0,1,0,0,0,0
Hands,Dark tuxedo cuffs,Members,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hands,Diamond bracelet,Members,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hands,Dragon gloves,Members,0.226,9,9,9,5,9,9,9,9,5,9,9,0,0,0,0
Hands,Dragonstone bracelet,Members,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hands,Dragonstone gauntlets,Members,0.226,8,8,8,-4,8,8,8,8,-4,4,4,0,0,0,0
Hands,Elven gloves,Members,4.535,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hands,Emerald bracelet,Members,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hands,Expeditious bracelet,Members,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hands,Expert mining gloves,Members,0.226,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hands,Ferocious gloves,Members,0.226,16,16,16,-16,-16,0,0,0,0,0,14,0,0,0,0
Hands,Flamtaer bracelet,Members,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hands,Fremennik gloves,Members,0.453,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0
Hands,Ghostly gloves,Members,0.001,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0
Hands,Gilded d'hide vambraces,Free-to-play,1,0,0,0,-10,8,3,2,4,2,0,0,0,0,0,0
Hands,Gloves of darkness,Members,0.453,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0
Hands,Gloves of silence,Members,0.226,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0
Hands,Gold bracelet,Members,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hands,Goldsmith gauntlets,Members,0.226,2,2,2,0,0,8,9,7,0,0,2,0,0,0,0
Hands,Graceful gloves Agility_Arena,Members,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hands,Graceful gloves Arceuus,Members,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hands,Graceful gloves Hallowed_Sepulchre,Members,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hands,Graceful gloves Hosidius,Members,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hands,Graceful gloves Kourend,Members,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hands,Graceful gloves Lovakengj,Members,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hands,Graceful gloves Piscarilius,Members,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hands,Graceful gloves Regular,Members,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hands,Graceful gloves Shayzien,Members,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hands,Granite gloves,Members,1,5,5,9,-3,-1,8,8,8,-3,5,7,0,0,0,0
Hands,Gravedigger gloves,Free-to-play,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hands,Green d'hide vambraces,Free-to-play,0.283,0,0,0,-10,8,3,2,4,2,0,0,0,0,0,0
Hands,Green spiky vambraces,Members,0.283,0,0,0,-10,8,3,2,4,2,0,2,0,0,0,0
Hands,Grey gloves,Free-to-play,0.453,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0
Hands,Guthix bracers,Members,1,0,0,0,-10,11,6,5,7,8,0,0,0,0,1,0
Hands,Ham gloves,Members,0.453,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0
