Type,Name,Member,Weigth,StabAtk,SlashAtk,CrushAtk,MagicAtk,RangedAtk,StabDef,SlashDef,CrushDef,MagicDef,RangedDef,MeleStr,RangedStr,MagicStr,Prayer,Speed
Head,3rd age full helmet,Members,0.907,0,0,0,-5,-2,47,49,43,-3,48,0,0,0,0,0
Head,3rd age mage hat,Members,0.4,0,0,0,8,0,0,0,0,8,0,0,0,0,0,0
Head,3rd age range coif,Members,1,0,0,0,-2,9,4,7,10,5,8,0,0,0,0,0
Head,4th birthday hat,Free-to-play,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Head,A powdered wig,Members,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Head,Accumulator max hood,Members,0.453,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Head,Achievement diary hood,Members,0.453,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Head,Adamant dragon mask,Members,2.267,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Head,Adamant full helm,Free-to-play,3.175,0,0,0,-6,-2,19,21,16,-1,19,0,0,0,0,0
Head,Adamant full helm (g),Free-to-play,3.175,0,0,0,-6,-2,19,21,16,-1,19,0,0,0,0,0
Head,Adamant full helm (t),Free-to-play,3.175,0,0,0,-6,-2,19,21,16,-1,19,0,0,0,0,0
Head,Adamant helm (h1),Free-to-play,3.175,0,0,0,-6,-2,19,21,16,-1,19,0,0,0,0,0
Head,Adamant helm (h2),Free-to-play,3.175,0,0,0,-6,-2,19,21,16,-1,19,0,0,0,0,0
Head,Adamant helm (h3),Free-to-play,3.175,0,0,0,-6,-2,19,21,16,-1,19,0,0,0,0,0
Head,Adamant helm (h4),Free-to-play,3.175,0,0,0,-6,-2,19,21,16,-1,19,0,0,0,0,0
Head,Adamant helm (h5),Free-to-play,3.175,0,0,0,-6,-2,19,21,16,-1,19,0,0,0,0,0
Head,Adamant heraldic helm (Arrav),Members,2.721,0,0,0,-6,-2,19,21,16,-1,19,0,0,0,0,0
Head,Adamant heraldic helm (Asgarnia),Members,2.721,0,0,0,-6,-2,19,21,16,-1,19,0,0,0,0,0
Head,Adamant heraldic helm (Dorgeshuun),Members,2.721,0,0,0,-6,-2,19,21,16,-1,19,0,0,0,0,0
Head,Adamant heraldic helm (Dragon),Members,2.721,0,0,0,-6,-2,19,21,16,-1,19,0,0,0,0,0
Head,Adamant heraldic helm (Fairy),Members,2.721,0,0,0,-6,-2,19,21,16,-1,19,0,0,0,0,0
Head,Adamant heraldic helm (Guthix),Members,2.721,0,0,0,-6,-2,19,21,16,-1,19,0,0,0,0,0
Head,Adamant heraldic helm (HAM),Members,2.721,0,0,0,-6,-2,19,21,16,-1,19,0,0,0,0,0
Head,Adamant heraldic helm (Horse),Members,2.721,0,0,0,-6,-2,19,21,16,-1,19,0,0,0,0,0
Head,Adamant heraldic helm (Jogre),Members,2.721,0,0,0,-6,-2,19,21,16,-1,19,0,0,0,0,0
Head,Adamant heraldic helm (Kandarin),Members,2.721,0,0,0,-6,-2,19,21,16,-1,19,0,0,0,0,0
Head,Adamant heraldic helm (Misthalin),Members,2.721,0,0,0,-6,-2,19,21,16,-1,19,0,0,0,0,0
Head,Adamant heraldic helm (Money),Members,2.721,0,0,0,-6,-2,19,21,16,-1,19,0,0,0,0,0
Head,Adamant heraldic helm (Saradomin),Members,2.721,0,0,0,-6,-2,19,21,16,-1,19,0,0,0,0,0
Head,Adamant heraldic helm (Skull),Members,2.721,0,0,0,-6,-2,19,21,16,-1,19,0,0,0,0,0
Head,Adamant heraldic helm (Varrock),Members,2.721,0,0,0,-6,-2,19,21,16,-1,19,0,0,0,0,0
Head,Adamant heraldic helm (Zamorak),Members,2.721,0,0,0,-6,-2,19,21,16,-1,19,0,0,0,0,0
Head,Adamant med helm,Free-to-play,2.267,0,0,0,-3,-1,14,15,13,-1,14,0,0,0,0,0
Head,Afro,Members,0.453,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Head,Agility hood,Members,0.453,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Head,Ahrim's hood,Members,0.907,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Head,Air tiara,Free-to-play,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Head,Ancestral hat,Members,0.453,0,0,0,8,-2,12,11,13,5,0,0,0,2,0,0
Head,Ancient coif,Members,0.9,0,0,0,-1,7,4,7,10,4,8,0,0,0,1,0
Head,Ancient full helm,Free-to-play,2.721,0,0,0,-6,-2,30,32,27,-1,30,0,0,0,1,0
Head,Ancient halo,Members,0.3,0,0,0,0,0,11,12,10,11,-1,0,0,0,3,0
Head,Ancient mitre,Members,0.3,0,0,0,4,0,0,0,0,4,0,0,0,0,5,0
Head,Angler hat,Members,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Head,Ankou mask,Members,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Head,Antisanta mask,Free-to-play,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Head,Arceuus hood,Members,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Head,Archer helm,Members,2.721,-5,-5,-5,-5,6,6,8,10,6,6,0,0,0,0,0
Head,Ardougne knight helm,Members,2.721,0,0,0,-6,-2,6,7,5,-1,6,0,0,0,0,0
Head,Ardougne max hood,Members,0.453,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Head,Armadyl coif,Members,0.9,0,0,0,-1,7,4,7,10,4,8,0,0,0,1,0
Head,Armadyl full helm,Free-to-play,2.721,0,0,0,-6,-2,30,32,27,-1,30,0,0,0,1,0
Head,Armadyl halo,Members,0.3,0,0,0,0,0,11,12,10,11,-1,0,0,0,3,0
Head,Armadyl helmet,Members,0.5,-5,-5,-5,-5,10,6,8,10,10,8,0,0,0,1,0
Head,Armadyl mitre,Members,0.3,0,0,0,4,0,0,0,0,4,0,0,0,0,5,0
Head,Assembler max hood,Members,0.453,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Head,Astral tiara,Members,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Head,Attack hood,Members,0.453,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Head,Bandana eyepatch (blue),Members,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
