Type,Name,Member,Weigth,StabAtk,SlashAtk,CrushAtk,MagicAtk,RangedAtk,StabDef,SlashDef,CrushDef,MagicDef,RangedDef,MeleStr,RangedStr,MagicStr,Prayer,Speed
Equipment,3rd age druidic robe bottoms,Members,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0
Equipment,3rd age platelegs,Members,2.721,0,0,0,-25,-2,78,76,83,-5,75,0,0,0,0,0
Equipment,3rd age plateskirt,Members,2.721,0,0,0,-25,-2,78,76,83,-5,75,0,0,0,0,0
Equipment,3rd age range legs,Members,3,0,0,0,-10,17,31,25,33,30,31,0,0,0,0,0
Equipment,3rd age robe,Members,1.8,0,0,0,19,0,0,0,0,19,0,0,0,0,0,0
Equipment,Adamant platelegs,Free-to-play,10.432,0,0,0,-21,-7,33,31,29,-4,31,0,0,0,0,0
Equipment,Adamant platelegs (g),Free-to-play,10.432,0,0,0,-21,-7,33,31,29,-4,31,0,0,0,0,0
Equipment,Adamant platelegs (t),Free-to-play,10.432,0,0,0,-21,-7,33,31,29,-4,31,0,0,0,0,0
Equipment,Adamant plateskirt,Free-to-play,9.071,0,0,0,-21,-7,33,31,29,-4,31,0,0,0,0,0
Equipment,Adamant plateskirt (g),Free-to-play,10.432,0,0,0,-21,-7,33,31,29,-4,31,0,0,0,0,0
Equipment,Adamant plateskirt (t),Free-to-play,10.432,0,0,0,-21,-7,33,31,29,-4,31,0,0,0,0,0
Equipment,Ahrim's robeskirt (broken),Members,11.339,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Equipment,Ahrim's robeskirt 100,Members,11.339,0,0,0,22,-7,33,30,36,22,0,0,0,0,0,0
Equipment,Ahrim's robeskirt 25,Members,11.339,0,0,0,22,-7,33,30,36,22,0,0,0,0,0,0
Equipment,Ahrim's robeskirt 50,Members,11.339,0,0,0,22,-7,33,30,36,22,0,0,0,0,0,0
Equipment,Ahrim's robeskirt 75,Members,11.339,0,0,0,22,-7,33,30,36,22,0,0,0,0,0,0
Equipment,Ahrim's robeskirt Undamaged,Members,11.339,0,0,0,22,-7,33,30,36,22,0,0,0,0,0,0
Equipment,Ancestral robe bottom,Members,1.814,0,0,0,26,-7,27,24,30,20,0,0,0,2,0,0
Equipment,Ancient chaps,Members,5,0,0,0,-10,17,31,25,33,28,31,0,0,0,1,0
Equipment,Ancient platelegs,Free-to-play,9.071,0,0,0,-21,-7,51,49,47,-4,49,0,0,0,1,0
Equipment,Ancient plateskirt,Free-to-play,9.071,0,0,0,-21,-7,51,49,47,-4,49,0,0,0,1,0
Equipment,Ancient robe legs,Members,0.005,0,0,0,4,0,0,0,0,4,0,0,0,0,5,0
Equipment,Angler waders,Members,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Equipment,Ankou's leggings,Members,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Equipment,Anti-panties,Free-to-play,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Equipment,Antisanta pantaloons,Free-to-play,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Equipment,Ardougne knight platelegs,Members,9.071,0,0,0,-21,-7,11,10,10,-4,10,0,0,0,0,0
Equipment,Armadyl chainskirt,Members,1,-6,-6,-6,-10,20,32,26,34,40,33,0,0,0,1,0
Equipment,Armadyl chaps,Members,5,0,0,0,-10,17,31,25,33,28,31,0,0,0,1,0
Equipment,Armadyl platelegs,Free-to-play,9.071,0,0,0,-21,-7,51,49,47,-4,49,0,0,0,1,0
Equipment,Armadyl plateskirt,Free-to-play,9.071,0,0,0,-21,-7,51,49,47,-4,49,0,0,0,1,0
Equipment,Armadyl robe legs,Members,2.7,0,0,0,4,0,0,0,0,4,0,0,0,0,5,0
Equipment,Bandos chaps,Members,5,0,0,0,-10,17,31,25,33,28,31,0,0,0,1,0
Equipment,Bandos platelegs,Free-to-play,9.071,0,0,0,-21,-7,51,49,47,-4,49,0,0,0,1,0
Equipment,Bandos plateskirt,Free-to-play,9.071,0,0,0,-21,-7,51,49,47,-4,49,0,0,0,1,0
Equipment,Bandos robe legs,Members,2.7,0,0,0,4,0,0,0,0,4,0,0,0,0,5,0
Equipment,Bandos tassets,Members,8,0,0,0,-21,-7,71,63,66,-4,93,2,0,0,1,0
Equipment,Banshee robe,Free-to-play,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Equipment,Black d'hide chaps,Members,5.443,0,0,0,-10,17,31,25,33,28,31,0,0,0,0,0
Equipment,Black d'hide chaps (g),Members,5.443,0,0,0,-10,17,31,25,33,28,31,0,0,0,0,0
Equipment,Black d'hide chaps (t),Members,5.443,0,0,0,-10,17,31,25,33,28,31,0,0,0,0,0
Equipment,Black desert robe,Members,0.907,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Equipment,Black elegant legs,Members,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Equipment,Black navy slacks,Members,0.003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Equipment,Black platelegs,Free-to-play,9.071,0,0,0,-21,-7,21,20,19,-4,20,0,0,0,0,0
Equipment,Black platelegs (g),Free-to-play,9.071,0,0,0,-21,-7,21,20,19,-4,20,0,0,0,0,0
Equipment,Black platelegs (t),Free-to-play,9.071,0,0,0,-21,-7,21,20,19,-4,20,0,0,0,0,0
Equipment,Black plateskirt,Free-to-play,8.164,0,0,0,-21,-7,21,20,19,-4,20,0,0,0,0,0
Equipment,Black plateskirt (g),Free-to-play,9.071,0,0,0,-21,-7,21,20,19,-4,20,0,0,0,0,0
Equipment,Black plateskirt (t),Free-to-play,9.071,0,0,0,-21,-7,21,20,19,-4,20,0,0,0,0,0
Equipment,Black skirt,Free-to-play,0.907,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Equipment,Black skirt (g),Free-to-play,0.907,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Equipment,Black skirt (t),Free-to-play,0.907,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Equipment,Blue d'hide chaps,Members,5.443,0,0,0,-10,11,25,19,27,14,25,0,0,0,0,0
Equipment,Blue d'hide chaps (g),Members,5.443,0,0,0,-10,11,25,19,27,14,25,0,0,0,0,0
Equipment,Blue d'hide chaps (t),Members,5.443,0,0,0,-10,11,25,19,27,14,25,0,0,0,0,0
Equipment,Blue elegant legs,Members,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Equipment,Blue elegant skirt,Members,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Equipment,Blue navy slacks,Members,0.003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Equipment,Blue robe bottoms,Members,0.907,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0
Equipment,Blue skirt,Free-to-play,0.907,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Equipment,Blue skirt (g),Free-to-play,0.907,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Equipment,Blue skirt (t),Free-to-play,0.907,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Equipment,Bronze platelegs,Free-to-play,9.071,0,0,0,-21,-7,8,7,6,-4,7,0,0,0,0,0
Equipment,Bronze platelegs (g),Free-to-play,9.071,0,0,0,-21,-7,8,7,6,-4,7,0,0,0,0,0
Equipment,Bronze platelegs (t),Free-to-play,9.071,0,0,0,-21,-7,8,7,6,-4,7,0,0,0,0,0
Equipment,Bronze plateskirt,Free-to-play,8.164,0,0,0,-21,-7,8,7,6,-4,7,0,0,0,0,0
Equipment,Bronze plateskirt (g),Free-to-play,8.164,0,0,0,-21,-7,8,7,6,-4,7,0,0,0,0,0
Equipment,Bronze plateskirt (t),Free-to-play,8.164,0,0,0,-21,-7,8,7,6,-4,7,0,0,0,0,0
Equipment,Brown navy slacks,Members,0.003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Equipment,Builder's trousers,Members,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Equipment,Bunny legs,Free-to-play,0.907,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Equipment,Camo bottoms,Free-to-play,2.267,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Equipment,Chicken legs,Free-to-play,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Equipment,Citizen trousers,Members,0.907,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0
Equipment,Clown trousers,Free-to-play,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Equipment,Clue hunter trousers,Members,2,0,0,0,0,4,2,2,1,0,0,0,0,0,0,0
Equipment,Corrupted legs (attuned),Members,9.071,10,10,3,10,10,74,74,74,74,74,0,0,0,3,0
Equipment,Corrupted legs (basic),Members,9.071,6,6,2,6,6,52,52,52,52,52,0,0,0,2,0
Equipment,Corrupted legs (perfected),Members,9.071,14,14,4,14,14,92,92,92,92,92,0,0,0,4,0
Equipment,Corrupted platelegs,Members,9.071,0,0,0,-21,-7,11,10,10,-4,10,0,0,0,0,0
Equipment,Corrupted plateskirt,Members,8.164,0,0,0,-21,-7,11,10,10,-4,10,0,0,0,0,0
Equipment,Cow trousers,Free-to-play,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Equipment,Cream robe bottoms,Members,0.907,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0
Equipment,Crystal legs (attuned),Members,9.071,10,10,3,10,10,74,74,74,74,74,0,0,0,3,0
Equipment,Crystal legs (basic),Members,9.071,6,6,2,6,6,52,52,52,52,52,0,0,0,2,0
Equipment,Crystal legs (perfected),Members,9.071,14,14,4,14,14,92,92,92,92,92,0,0,0,4,0
Equipment,Crystal legs Active,Members,9.071,0,0,0,-12,17,20,16,24,34,29,0,0,0,2,0
Equipment,Crystal legs Inactive,Members,9.071,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Equipment,Dagon'hai robe bottom,Members,1.814,0,0,0,18,0,0,0,0,14,0,0,0,0,2,0
Equipment,Dark infinity bottoms,Members,1.814,0,0,0,17,0,0,0,0,17,0,0,0,0,0,0
Equipment,Dark trousers,Members,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Equipment,Deadman's legs Cosmetic,Free-to-play,0.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Equipment,Deadman's legs Deadman_mode,Members,9.071,0,0,0,-21,-7,11,10,10,-4,10,0,0,0,0,0
Equipment,Decorative armour (gold platelegs) Broken,Members,9.071,0,0,0,-21,-7,33,31,29,-4,31,0,0,0,0,0
Equipment,Decorative armour (gold platelegs) Locked,Free-to-play,9.071,0,0,0,-21,-7,33,31,29,-4,31,0,0,0,0,0
Equipment,Decorative armour (gold platelegs) Normal,Free-to-play,9.071,0,0,0,-21,-7,33,31,29,-4,31,0,0,0,0,0
Equipment,Decorative armour (gold plateskirt) Broken,Members,9.071,0,0,0,-21,-7,33,31,29,-4,31,0,0,0,0,0
Equipment,Decorative armour (gold plateskirt) Locked,Free-to-play,9.071,0,0,0,-21,-7,33,31,29,-4,31,0,0,0,0,0
Equipment,Decorative armour (gold plateskirt) Normal,Free-to-play,9.071,0,0,0,-21,-7,33,31,29,-4,31,0,0,0,0,0
Equipment,Decorative armour (magic legs) Broken,Members,8.164,0,0,0,0,0,15,15,15,15,15,0,0,0,0,0
Equipment,Decorative armour (magic legs) Locked,Members,8.164,0,0,0,0,0,15,15,15,15,15,0,0,0,0,0
Equipment,Decorative armour (magic legs) Normal,Members,8.164,0,0,0,0,0,15,15,15,15,15,0,0,0,0,0
Equipment,Decorative armour (ranged legs) Broken,Members,8.164,0,0,0,0,0,15,15,15,15,15,0,0,0,0,0
Equipment,Decorative armour (ranged legs) Locked,Members,8.164,0,0,0,0,0,15,15,15,15,15,0,0,0,0,0
Equipment,Decorative armour (ranged legs) Normal,Members,8.164,0,0,0,0,0,15,15,15,15,15,0,0,0,0,0
Equipment,Decorative armour (red platelegs),Free-to-play,9.071,0,0,0,-21,-7,17,16,15,-4,16,0,0,0,0,0
Equipment,Decorative armour (red plateskirt),Free-to-play,9.071,0,0,0,-21,-7,17,16,15,-4,16,0,0,0,0,0
Equipment,Decorative armour (white platelegs),Free-to-play,9.071,0,0,0,-21,-7,24,22,20,-4,22,0,0,0,0,0
Equipment,Decorative armour (white plateskirt),Free-to-play,9.071,0,0,0,-21,-7,24,22,20,-4,22,0,0,0,0,0
Equipment,Desert camo legs,Members,0.226,0,0,0,0,-7,11,10,10,0,10,0,0,0,0,0
Equipment,Desert legs,Members,0.005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Equipment,Desert robe,Members,0.907,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
