Name,Member,StabAtk,SlashAtk,CrushAtk,MagicAtk,RangedAtk,StabDef,SlashDef,CrushDef,MagicDef,RangedDef,MeleStr,RangedStr,MagicStr,Prayer,Weigth,Speed
'perfect' necklace,Members,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0
10th squad sigil,Members,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.085,0
3rd age amulet,Members,0,0,0,15,0,0,0,0,10,0,0,0,0,0,0.003,0
Amulet of accuracy,Free-to-play,4,4,4,4,4,0,0,0,0,0,0,0,0,0,0.01,0
Amulet of avarice,Members,10,10,10,10,10,3,3,3,3,3,6,0,0,3,0.01,0
Amulet of blood fury,Members,10,10,10,10,10,15,15,15,15,15,8,0,0,5,0.02,0
Amulet of bounty,Members,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007,0
Amulet of chemistry,Members,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007,0
Amulet of defence,Free-to-play,0,0,0,0,0,7,7,7,7,7,0,0,0,0,0.01,0
Amulet of defence (t),Free-to-play,0,0,0,0,0,7,7,7,7,7,0,0,0,0,0.01,0
Amulet of eternal glory,Members,10,10,10,10,10,3,3,3,3,3,6,0,0,3,0.01,0
Amulet of fury,Members,10,10,10,10,10,15,15,15,15,15,8,0,0,5,0.01,0
Amulet of fury (or),Members,10,10,10,10,10,15,15,15,15,15,8,0,0,5,0.01,0
Amulet of glory (t) (t1),Members,10,10,10,10,10,3,3,3,3,3,6,0,0,3,0.01,0
Amulet of glory (t) (t2),Members,10,10,10,10,10,3,3,3,3,3,6,0,0,3,0.01,0
Amulet of glory (t) (t3),Members,10,10,10,10,10,3,3,3,3,3,6,0,0,3,0.01,0
Amulet of glory (t) (t4),Members,10,10,10,10,10,3,3,3,3,3,6,0,0,3,0.01,0
Amulet of glory (t) (t5),Members,10,10,10,10,10,3,3,3,3,3,6,0,0,3,0.01,0
Amulet of glory (t) (t6),Members,10,10,10,10,10,3,3,3,3,3,6,0,0,3,0.01,0
Amulet of glory (t) Uncharged,Members,10,10,10,10,10,3,3,3,3,3,6,0,0,3,0.01,0
Amulet of glory (1),Members,10,10,10,10,10,3,3,3,3,3,6,0,0,3,0.01,0
Amulet of glory (2),Members,10,10,10,10,10,3,3,3,3,3,6,0,0,3,0.01,0
Amulet of glory (3),Members,10,10,10,10,10,3,3,3,3,3,6,0,0,3,0.01,0
Amulet of glory (4),Members,10,10,10,10,10,3,3,3,3,3,6,0,0,3,0.01,0
Amulet of glory (5),Members,10,10,10,10,10,3,3,3,3,3,6,0,0,3,0.01,0
Amulet of glory (6),Members,10,10,10,10,10,3,3,3,3,3,6,0,0,3,0.01,0
Amulet of glory Uncharged,Members,10,10,10,10,10,3,3,3,3,3,6,0,0,3,0.01,0
Amulet of magic,Free-to-play,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0.01,0
Amulet of magic (t),Free-to-play,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0.01,0
Amulet of nature,Members,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007,0
Amulet of power,Free-to-play,6,6,6,6,6,6,6,6,6,6,6,0,0,1,0.01,0
Amulet of power (t),Free-to-play,6,6,6,6,6,6,6,6,6,6,6,0,0,1,0.01,0
Amulet of strength,Free-to-play,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0.01,0
Amulet of the damned Full,Members,10,10,10,10,10,3,3,3,3,3,6,0,0,3,0.1,0
Amulet of the damned Used,Members,10,10,10,10,10,3,3,3,3,3,6,0,0,3,0.1,0
Amulet of torture,Members,15,15,15,0,0,0,0,0,0,0,10,0,0,2,0.01,0
Amulet of torture (or),Members,15,15,15,0,0,0,0,0,0,0,10,0,0,2,0.01,0
Ancient stole,Members,0,0,0,2,0,0,0,0,2,0,0,0,0,10,0.002,0
Arceuus scarf,Members,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0
Armadyl pendant,Members,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0
Armadyl stole,Members,0,0,0,2,0,0,0,0,2,0,0,0,0,10,0.01,0
Bandos stole,Members,0,0,0,2,0,0,0,0,2,0,0,0,0,10,0.01,0
Beads of the dead,Members,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0.01,0
Berserker necklace,Members,-10,-10,-10,0,0,-20,-20,-20,-20,-20,7,0,0,3,0.01,0
Berserker necklace (or),Members,-10,-10,-10,0,0,-20,-20,-20,-20,-20,7,0,0,3,0.01,0
Binding necklace,Members,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0
Bobble scarf,Free-to-play,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0
Bonecrusher necklace,Members,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0.025,0
Brass necklace,Free-to-play,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0
Burning amulet (1),Members,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007,0
Burning amulet (2),Members,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007,0
Burning amulet (3),Members,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007,0
Burning amulet (4),Members,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007,0
Burning amulet (5),Members,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007,0
Camulet,Members,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007,0
Cat training medal,Members,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0
Catspeak amulet,Members,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.36,0
Catspeak amulet(e),Members,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.36,0
Clean necklace,Members,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0
Clown bow tie,Free-to-play,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0
Crone-made amulet,Members,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0
Crystal pendant,Members,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005,0
Dark bow tie,Members,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0
Desert amulet 1,Members,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0
Desert amulet 2,Members,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0
Desert amulet 3,Members,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0
Desert amulet 4,Members,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0
Diamond amulet,Free-to-play,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007,0
Diamond necklace,Free-to-play,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0
Digsite pendant (1),Members,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0
Digsite pendant (2),Members,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0
Digsite pendant (3),Members,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0
Digsite pendant (4),Members,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0
Digsite pendant (5),Members,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0
Dodgy necklace,Members,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0
Dragon necklace,Members,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0
Dragonbone necklace,Members,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0.005,0
Dragonstone amulet,Members,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007,0
Drakan's medallion,Members,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0
Emerald amulet,Free-to-play,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007,0
Emerald necklace,Free-to-play,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0
Games necklace (1),Members,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0
Games necklace (2),Members,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0
Games necklace (3),Members,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0
