Type,Name,Member,Weigth,StabAtk,SlashAtk,CrushAtk,MagicAtk,RangedAtk,StabDef,SlashDef,CrushDef,MagicDef,RangedDef,MeleStr,RangedStr,MagicStr,Prayer,Speed
Ring,'perfect' ring,Members,0.007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ring,Archers ring,Members,0.004,0,0,0,0,4,0,0,0,0,4,0,0,0,0,0
Ring,Archers ring (i),Members,0.004,0,0,0,0,8,0,0,0,0,8,0,0,0,0,0
Ring,Beacon ring,Members,0.006,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0
Ring,Berserker ring,Members,0.004,0,0,0,0,0,0,0,4,0,0,4,0,0,0,0
Ring,Berserker ring (i),Members,0.004,0,0,0,0,0,0,0,8,0,0,8,0,0,0,0
Ring,Brimstone ring,Members,0.004,4,4,4,6,4,4,4,4,6,4,4,0,0,0,0
Ring,Diamond ring,Free-to-play,0.006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ring,Dragonstone ring,Members,0.006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ring,Efaritay's aid,Members,0.006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ring,Elven signet,Members,0.006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ring,Emerald ring,Free-to-play,0.006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ring,Explorer's ring 1,Members,0.006,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Ring,Explorer's ring 2,Members,0.006,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Ring,Explorer's ring 3,Members,0.006,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Ring,Explorer's ring 4,Members,0.006,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Ring,Gold ring,Free-to-play,0.004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ring,Granite ring,Members,3,0,0,0,0,0,2,2,2,-2,8,0,0,0,0,0
Ring,Granite ring (i),Members,3,0,0,0,0,0,4,4,4,-4,16,0,0,0,0,0
Ring,Jade ring,Members,0.006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ring,Lunar ring,Members,0.006,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0
Ring,Onyx ring,Members,0.006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
