Type,Name,Member,Weigth,StabAtk,SlashAtk,CrushAtk,MagicAtk,RangedAtk,StabDef,SlashDef,CrushDef,MagicDef,RangedDef,MeleStr,RangedStr,MagicStr,Prayer,Speed
Equipment,3rd age kiteshield,Members,2.721,0,0,0,-10,-4,63,65,61,-3,63,0,0,0,0,0
Equipment,A chair,Members,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Equipment,Adamant defender,Members,0.453,13,12,11,-3,-2,13,12,11,-3,-2,4,0,0,0,0
Equipment,Adamant kiteshield,Free-to-play,5.896,0,0,0,-8,-2,27,31,29,-1,29,0,0,0,0,0
Equipment,Adamant kiteshield (Arrav),Members,5.443,0,0,0,-8,-2,27,31,29,-1,29,0,0,0,0,0
Equipment,Adamant kiteshield (Asgarnia),Members,5.443,0,0,0,-8,-2,27,31,29,-1,29,0,0,0,0,0
Equipment,Adamant kiteshield (Dorgeshuun),Members,5.443,0,0,0,-8,-2,27,31,29,-1,29,0,0,0,0,0
Equipment,Adamant kiteshield (Dragon),Members,5.443,0,0,0,-8,-2,27,31,29,-1,29,0,0,0,0,0
Equipment,Adamant kiteshield (Fairy),Members,5.443,0,0,0,-8,-2,27,31,29,-1,29,0,0,0,0,0
Equipment,Adamant kiteshield (Guthix),Members,5.443,0,0,0,-8,-2,27,31,29,-1,29,0,0,0,0,0
Equipment,Adamant kiteshield (HAM),Members,5.443,0,0,0,-8,-2,27,31,29,-1,29,0,0,0,0,0
Equipment,Adamant kiteshield (Horse),Members,5.443,0,0,0,-8,-2,27,31,29,-1,29,0,0,0,0,0
Equipment,Adamant kiteshield (Jogre),Members,5.443,0,0,0,-8,-2,27,31,29,-1,29,0,0,0,0,0
Equipment,Adamant kiteshield (Kandarin),Members,5.443,0,0,0,-8,-2,27,31,29,-1,29,0,0,0,0,0
Equipment,Adamant kiteshield (Misthalin),Members,5.443,0,0,0,-8,-2,27,31,29,-1,29,0,0,0,0,0
Equipment,Adamant kiteshield (Money),Members,5.443,0,0,0,-8,-2,27,31,29,-1,29,0,0,0,0,0
Equipment,Adamant kiteshield (Saradomin),Members,5.443,0,0,0,-8,-2,27,31,29,-1,29,0,0,0,0,0
Equipment,Adamant kiteshield (Skull),Members,5.443,0,0,0,-8,-2,27,31,29,-1,29,0,0,0,0,0
Equipment,Adamant kiteshield (Varrock),Members,5.443,0,0,0,-8,-2,27,31,29,-1,29,0,0,0,0,0
Equipment,Adamant kiteshield (Zamorak),Members,5.443,0,0,0,-8,-2,27,31,29,-1,29,0,0,0,0,0
Equipment,Adamant kiteshield (g),Free-to-play,5.896,0,0,0,-8,-2,27,31,29,-1,29,0,0,0,0,0
Equipment,Adamant kiteshield (t),Free-to-play,5.896,0,0,0,-8,-2,27,31,29,-1,29,0,0,0,0,0
Equipment,Adamant shield (h1),Free-to-play,5.896,0,0,0,-8,-2,27,31,29,-1,29,0,0,0,0,0
Equipment,Adamant shield (h2),Free-to-play,5.896,0,0,0,-8,-2,27,31,29,-1,29,0,0,0,0,0
Equipment,Adamant shield (h3),Free-to-play,5.896,0,0,0,-8,-2,27,31,29,-1,29,0,0,0,0,0
Equipment,Adamant shield (h4),Free-to-play,5.896,0,0,0,-8,-2,27,31,29,-1,29,0,0,0,0,0
Equipment,Adamant shield (h5),Free-to-play,5.896,0,0,0,-8,-2,27,31,29,-1,29,0,0,0,0,0
Equipment,Adamant sq shield,Free-to-play,4.082,0,0,0,-6,-2,24,26,22,0,24,0,0,0,0,0
Equipment,Ancient d'hide shield,Members,8,-15,-15,-11,-10,7,21,18,16,15,14,0,0,0,1,0
Equipment,Ancient kiteshield,Free-to-play,5.443,0,0,0,-8,-2,44,48,46,-1,46,0,0,0,1,0
Equipment,Ancient wyvern shield Charged,Members,4.535,-10,-10,-10,15,-10,72,80,75,15,-5,-2,0,0,0,0
Equipment,Ancient wyvern shield Uncharged,Members,4.535,-10,-10,-10,15,-10,22,30,25,15,-55,-2,0,0,0,0
Equipment,Anti-dragon shield Nightmare_Zone,Members,5.443,0,0,0,0,0,7,9,8,2,8,0,0,0,0,0
Equipment,Anti-dragon shield Regular,Free-to-play,5.443,0,0,0,0,0,7,9,8,2,8,0,0,0,0,0
Equipment,Arcane spirit shield,Members,2,0,0,0,20,0,53,55,73,2,52,0,0,0,3,0
Equipment,Armadyl d'hide shield,Members,8,-15,-15,-11,-10,7,21,18,16,15,14,0,0,0,1,0
Equipment,Armadyl kiteshield,Free-to-play,5.443,0,0,0,-8,-2,44,48,46,-1,46,0,0,0,1,0
Equipment,Avernic defender,Members,0.453,30,29,28,-5,-4,30,29,28,-5,-4,8,0,0,0,0
Equipment,Bandos d'hide shield,Members,8,-15,-15,-11,-10,7,21,18,16,15,14,0,0,0,1,0
Equipment,Bandos kiteshield,Free-to-play,5.443,0,0,0,-8,-2,44,48,46,-1,46,0,0,0,1,0
Equipment,Black d'hide shield,Members,8,-15,-15,-11,-10,7,21,18,16,15,14,0,0,0,0,0
Equipment,Black defender,Members,0.453,9,8,7,-3,-2,9,8,7,-3,-2,2,0,0,0,0
Equipment,Black kiteshield,Free-to-play,5.443,0,0,0,-8,-2,17,19,18,-1,18,0,0,0,0,0
Equipment,Black kiteshield (g),Free-to-play,5.443,0,0,0,-8,-2,17,19,18,-1,18,0,0,0,0,0
Equipment,Black kiteshield (t),Free-to-play,5.443,0,0,0,-8,-2,17,19,18,-1,18,0,0,0,0,0
Equipment,Black satchel,Members,0.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Equipment,Black shield (h1),Free-to-play,5.443,0,0,0,-8,-2,17,19,18,-1,18,0,0,0,0,0
Equipment,Black shield (h2),Free-to-play,5.443,0,0,0,-8,-2,17,19,18,-1,18,0,0,0,0,0
Equipment,Black shield (h3),Free-to-play,5.443,0,0,0,-8,-2,17,19,18,-1,18,0,0,0,0,0
Equipment,Black shield (h4),Free-to-play,5.443,0,0,0,-8,-2,17,19,18,-1,18,0,0,0,0,0
Equipment,Black shield (h5),Free-to-play,5.443,0,0,0,-8,-2,17,19,18,-1,18,0,0,0,0,0
Equipment,Black sq shield,Free-to-play,3.628,0,0,0,-6,-2,15,16,14,0,15,0,0,0,0,0
Equipment,Blessed spirit shield,Members,2,0,0,0,0,0,53,55,73,2,52,0,0,0,3,0
Equipment,Blue d'hide shield,Members,8,-15,-15,-11,-10,5,16,14,12,12,12,0,0,0,0,0
Equipment,Blue gingerbread shield,Free-to-play,3.175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Equipment,Book of balance,Members,1,4,4,4,4,4,4,4,4,4,4,0,0,0,5,0
Equipment,Book of darkness,Members,1,0,0,0,10,0,0,0,0,0,0,0,0,0,5,0
Equipment,Book of law,Members,1,0,0,0,0,10,0,0,0,0,0,0,0,0,5,0
Equipment,Book of war,Members,1,0,0,0,0,0,0,0,0,0,0,2,0,0,5,0
Equipment,Briefcase,Members,0.005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Equipment,Bronze defender,Members,0.453,3,2,1,-3,-2,3,2,1,-3,-2,0,0,0,0,0
Equipment,Bronze kiteshield,Free-to-play,5.443,0,0,0,-8,-2,5,7,6,-1,6,0,0,0,0,0
Equipment,Bronze kiteshield (g),Free-to-play,5.443,0,0,0,-8,-2,5,7,6,-1,6,0,0,0,0,0
Equipment,Bronze kiteshield (t),Free-to-play,5.443,0,0,0,-8,-2,5,7,6,-1,6,0,0,0,0,0
Equipment,Bronze sq shield,Free-to-play,3.628,0,0,0,-6,-2,5,6,4,0,5,0,0,0,0,0
