Name,Member,StabAtk,SlashAtk,CrushAtk,MagicAtk,RangedAtk,StabDef,SlashDef,CrushDef,MagicDef,RangedDef,MeleStr,RangedStr,MagicStr,Prayer,Weigth,Speed
Adamant boots, Members,0,0,0,-3,-1,10,11,12,0,0,1,0,0%,0,1.36,0
Ancient d'hide boots, Members,0,0,0,-10,7,4,4,4,4,4,0,0,0%,1,1.4,0
Angler boots, Members,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,1,0
Ankou socks, Members,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0.5,0
Antisanta boots, Free-to-play,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0.4,0
Armadyl d'hide boots, Members,0,0,0,-10,7,4,4,4,4,4,0,0,0%,1,1.4,0
Bandos boots, Members,0,0,0,-5,-3,17,18,19,0,15,0,0,0%,1,6,0
Bandos d'hide boots, Members,0,0,0,-10,7,4,4,4,4,4,0,0,0%,1,1.4,0
Bear feet, Free-to-play,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0.2,0
Black boots, Members,0,0,0,-3,-1,7,8,9,0,0,0,0,0%,0,1.36,0
Blue boots, Members,0,0,0,0,0,0,1,1,0,0,0,0,0%,0,0.34,0
Boots of brimstone, Members,3,0,0,3,5,10,10,10,5,5,0,0,0%,0,3.175,0
Boots of darkness, Members,0,0,0,3,0,0,0,0,3,0,0,0,0%,0,0.453,0
Boots of lightness, Members,0,0,0,0,0,1,1,1,0,0,0,0,0%,0, ,0
Boots of stone, Members,0,0,0,0,0,1,1,1,0,0,0,0,0%,0,3.175,0
Bronze boots, Members,0,0,0,-3,-1,1,2,3,0,0,0,0,0%,0,1.36,0
Builder's boots, Members,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0.45,0
Bunny feet, Free-to-play,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0.1,0
Chicken feet, Free-to-play,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0.25,0
Citizen shoes, Members,0,0,0,0,0,0,2,2,0,0,0,0,0%,0,0.907,0
Climbing boots, Members,0,0,0,0,0,0,2,2,0,0,2,0,0%,0,0.34,0
