Name,Member,StabAtk,SlashAtk,CrushAtk,MagicAtk,RangedAtk,StabDef,SlashDef,CrushDef,MagicDef,RangedDef,MeleStr,RangedStr,MagicStr,Prayer,Weigth,Speed
3rd age vambraces, Members,0,0,0,-10,11,6,5,7,9,0,0,0,0,0,1,0
Abyssal bracelet#(1), Members,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0
Abyssal bracelet#(2), Members,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0
Abyssal bracelet#(3), Members,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0
Abyssal bracelet#(4), Members,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0
Abyssal bracelet#(5), Members,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0
Adamant gloves, Members,7,7,7,4,7,7,7,7,4,7,7,0,0,0,0.226,0
Ancient bracers, Members,0,0,0,-10,11,6,5,7,8,0,0,0,0,1,1,0
Ankou gloves, Members,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0
Antisanta gloves, Free-to-play,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0
Armadyl bracers, Members,0,0,0,-10,11,6,5,7,8,0,0,0,0,1,1,0
Bandos bracers, Members,0,0,0,-10,11,6,5,7,8,0,0,0,0,1,1,0
Barrows gloves, Members,12,12,12,6,12,12,12,12,6,12,12,0,0,0,0.226,0
Black d'hide vambraces, Members,0,0,0,-10,11,6,5,7,8,0,0,0,0,0,0.283,0
Black gloves, Members,5,5,5,3,5,5,5,5,3,5,5,0,0,0,0.226,0
Black spiky vambraces, Members,0,0,0,-10,11,6,5,7,8,0,2,0,0,0,0.283,0
Blue d'hide vambraces, Members,0,0,0,-10,9,4,3,5,4,0,0,0,0,0,0.283,0
Blue spiky vambraces, Members,0,0,0,-10,9,4,3,5,4,0,2,0,0,0,0.283,0
Bracelet of clay, Members,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0
Bracelet of ethereum#Charged, Members,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0
Bracelet of ethereum#Uncharged, Members,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0
Bracelet of slaughter, Members,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0
Bronze gloves, Members,2,2,2,1,2,2,2,2,1,2,2,0,0,0,0.226,0
Bunny paws, Free-to-play,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.113,0
Castle wars bracelet#(1), Free-to-play,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0
Castle wars bracelet#(2), Free-to-play,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0
Castle wars bracelet#(3), Free-to-play,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0
Chaos gauntlets, Members,2,2,2,0,0,8,9,7,0,0,2,0,0,0,0.226,0
Clue hunter gloves, Members,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0.5,0
Combat bracelet#(1), Members,7,7,7,3,7,5,5,5,3,5,6,0,0,0,0.25,0
Combat bracelet#(2), Members,7,7,7,3,7,5,5,5,3,5,6,0,0,0,0.25,0
Combat bracelet#(3), Members,7,7,7,3,7,5,5,5,3,5,6,0,0,0,0.25,0
Combat bracelet#(4), Members,7,7,7,3,7,5,5,5,3,5,6,0,0,0,0.25,0
Combat bracelet#(5), Members,7,7,7,3,7,5,5,5,3,5,6,0,0,0,0.25,0
Combat bracelet#(6), Members,7,7,7,3,7,5,5,5,3,5,6,0,0,0,0.25,0
Combat bracelet#Uncharged, Members,7,7,7,3,7,5,5,5,3,5,6,0,0,0,0.25,0
Cooking gauntlets, Members,2,2,2,0,0,8,9,7,0,0,2,0,0,0,0.226,0
Cow gloves, Free-to-play,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0
Crab claw, Members,0,0,0,0,0,3,4,2,0,0,1,0,0,0,0.907,0
Crabclaw hook, Members,0,0,0,0,0,3,5,3,0,0,1,0,0,0,1,0
Dark tuxedo cuffs, Members,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0
Diamond bracelet, Members,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0
Dragon gloves, Members,9,9,9,5,9,9,9,9,5,9,9,0,0,0,0.226,0
Dragonstone bracelet, Members,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0
Dragonstone gauntlets, Members,8,8,8,-4,8,8,8,8,-4,4,4,0,0,0,0.226,0
Elven gloves, Members,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.535,0
Emerald bracelet, Members,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0
Expeditious bracelet, Members,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0
Expert mining gloves, Members,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.226,0
Ferocious gloves, Members,16,16,16,-16,-16,0,0,0,0,0,14,0,0,0,0.226,0
Flamtaer bracelet, Members,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0
Fremennik gloves, Members,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0.453,0
Ghostly gloves, Members,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0.001,0
Gilded d'hide vambraces, Free-to-play,0,0,0,-10,8,3,2,4,2,0,0,0,0,0,1,0
Gloves of darkness, Members,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0.453,0
Gloves of silence, Members,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0.226,0
Gold bracelet, Members,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0
Goldsmith gauntlets, Members,2,2,2,0,0,8,9,7,0,0,2,0,0,0,0.226,0
Graceful gloves#Agility_Arena, Members,0,0,0,0,0,0,0,0,0,0,0,0,0,0, ,0
Graceful gloves#Arceuus, Members,0,0,0,0,0,0,0,0,0,0,0,0,0,0, ,0
Graceful gloves#Hallowed_Sepulchre, Members,0,0,0,0,0,0,0,0,0,0,0,0,0,0, ,0
Graceful gloves#Hosidius, Members,0,0,0,0,0,0,0,0,0,0,0,0,0,0, ,0
Graceful gloves#Kourend, Members,0,0,0,0,0,0,0,0,0,0,0,0,0,0, ,0
Graceful gloves#Lovakengj, Members,0,0,0,0,0,0,0,0,0,0,0,0,0,0, ,0
Graceful gloves#Piscarilius, Members,0,0,0,0,0,0,0,0,0,0,0,0,0,0, ,0
Graceful gloves#Regular, Members,0,0,0,0,0,0,0,0,0,0,0,0,0,0, ,0
Graceful gloves#Shayzien, Members,0,0,0,0,0,0,0,0,0,0,0,0,0,0, ,0
Granite gloves, Members,5,5,9,-3,-1,8,8,8,-3,5,7,0,0,0,1,0
Gravedigger gloves, Free-to-play,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0
Green d'hide vambraces, Free-to-play,0,0,0,-10,8,3,2,4,2,0,0,0,0,0,0.283,0
Green spiky vambraces, Members,0,0,0,-10,8,3,2,4,2,0,2,0,0,0,0.283,0
Grey gloves, Free-to-play,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0.453,0
Guthix bracers, Members,0,0,0,-10,11,6,5,7,8,0,0,0,0,1,1,0
Ham gloves, Members,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0.453,0
Hardleather gloves, Members,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0.226,0
Holy wraps, Members,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0.5,0
Ice gloves, Members,0,0,0,0,0,0,3,4,0,2,0,0,0,0,0.226,0
Infinity gloves, Members,0,0,0,5,0,0,0,0,5,0,0,0,0,0,0.453,0
Inoculation bracelet, Members,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0
Iron gloves, Members,3,3,3,2,3,3,3,3,2,3,3,0,0,0,0.226,0
