Name,Member,StabAtk,SlashAtk,CrushAtk,MagicAtk,RangedAtk,StabDef,SlashDef,CrushDef,MagicDef,RangedDef,MeleStr,RangedStr,MagicStr,Prayer,Weigth,Speed
'perfect' ring,Members,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007,0
Archers ring,Members,0,0,0,0,4,0,0,0,0,4,0,0,0,0,0.004,0
Archers ring (i),Members,0,0,0,0,8,0,0,0,0,8,0,0,0,0,0.004,0
Beacon ring,Members,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0.006,0
Berserker ring,Members,0,0,0,0,0,0,0,4,0,0,4,0,0,0,0.004,0
Berserker ring (i),Members,0,0,0,0,0,0,0,8,0,0,8,0,0,0,0.004,0
Brimstone ring,Members,4,4,4,6,4,4,4,4,6,4,4,0,0,0,0.004,0
Diamond ring,Free-to-play,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006,0
Dragonstone ring,Members,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006,0
Efaritay's aid,Members,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006,0
Elven signet,Members,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006,0
Emerald ring,Free-to-play,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006,0
Explorer's ring 1,Members,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.006,0
Explorer's ring 2,Members,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.006,0
Explorer's ring 3,Members,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.006,0
Explorer's ring 4,Members,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.006,0
Gold ring,Free-to-play,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004,0
Granite ring,Members,0,0,0,0,0,2,2,2,-2,8,0,0,0,0,3,0
Granite ring (i),Members,0,0,0,0,0,4,4,4,-4,16,0,0,0,0,3,0
Jade ring,Members,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006,0
Lunar ring,Members,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0.006,0
Onyx ring,Members,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006,0
Opal ring,Members,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006,0
Ring of 3rd age,Free-to-play,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005,0
Ring of charos Activated,Members,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005,0
Ring of charos Normal,Members,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005,0
Ring of dueling (1),Members,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006,0
Ring of dueling (2),Members,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006,0
