Name,Member,StabAtk,SlashAtk,CrushAtk,MagicAtk,RangedAtk,StabDef,SlashDef,CrushDef,MagicDef,RangedDef,MeleStr,RangedStr,MagicStr,Prayer,Weigth,Speed
3rd age kiteshield, Members,0,0,0,-10,-4,63,65,61,-3,63,0,0,0,0,2.721,0
A chair, Members,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0
Adamant defender#Broken, Members,13,12,11,-3,-2,13,12,11,-3,-2,4,0,0,0,0.453,0
Adamant defender#Locked, Members,13,12,11,-3,-2,13,12,11,-3,-2,4,0,0,0,0.453,0
Adamant defender#Normal, Members,13,12,11,-3,-2,13,12,11,-3,-2,4,0,0,0,0.453,0
Adamant kiteshield, Free-to-play,0,0,0,-8,-2,27,31,29,-1,29,0,0,0,0,5.896,0
Adamant kiteshield (Arrav), Members,0,0,0,-8,-2,27,31,29,-1,29,0,0,0,0,5.443,0
Adamant kiteshield (Asgarnia), Members,0,0,0,-8,-2,27,31,29,-1,29,0,0,0,0,5.443,0
Adamant kiteshield (Dorgeshuun), Members,0,0,0,-8,-2,27,31,29,-1,29,0,0,0,0,5.443,0
Adamant kiteshield (Dragon), Members,0,0,0,-8,-2,27,31,29,-1,29,0,0,0,0,5.443,0
Adamant kiteshield (Fairy), Members,0,0,0,-8,-2,27,31,29,-1,29,0,0,0,0,5.443,0
Adamant kiteshield (Guthix), Members,0,0,0,-8,-2,27,31,29,-1,29,0,0,0,0,5.443,0
Adamant kiteshield (HAM), Members,0,0,0,-8,-2,27,31,29,-1,29,0,0,0,0,5.443,0
Adamant kiteshield (Horse), Members,0,0,0,-8,-2,27,31,29,-1,29,0,0,0,0,5.443,0
Adamant kiteshield (Jogre), Members,0,0,0,-8,-2,27,31,29,-1,29,0,0,0,0,5.443,0
Adamant kiteshield (Kandarin), Members,0,0,0,-8,-2,27,31,29,-1,29,0,0,0,0,5.443,0
Adamant kiteshield (Misthalin), Members,0,0,0,-8,-2,27,31,29,-1,29,0,0,0,0,5.443,0
Adamant kiteshield (Money), Members,0,0,0,-8,-2,27,31,29,-1,29,0,0,0,0,5.443,0
Adamant kiteshield (Saradomin), Members,0,0,0,-8,-2,27,31,29,-1,29,0,0,0,0,5.443,0
Adamant kiteshield (Skull), Members,0,0,0,-8,-2,27,31,29,-1,29,0,0,0,0,5.443,0
Adamant kiteshield (Varrock), Members,0,0,0,-8,-2,27,31,29,-1,29,0,0,0,0,5.443,0
Adamant kiteshield (Zamorak), Members,0,0,0,-8,-2,27,31,29,-1,29,0,0,0,0,5.443,0
Adamant kiteshield (g), Free-to-play,0,0,0,-8,-2,27,31,29,-1,29,0,0,0,0,5.896,0
Adamant kiteshield (t), Free-to-play,0,0,0,-8,-2,27,31,29,-1,29,0,0,0,0,5.896,0
