Name,Member,StabAtk,SlashAtk,CrushAtk,MagicAtk,RangedAtk,StabDef,SlashDef,CrushDef,MagicDef,RangedDef,MeleStr,RangedStr,MagicStr,Prayer,Weigth,Speed,Type, 
'24-carat' sword,Free-to-play,-100,-100,-50,0,0,0,0,0,0,0,-10,0,0,0,0.453,4,Stabbing swords,
3rd age axe,Members,-2,38,32,0,0,0,1,0,0,0,42,0,0,0,1.36,5,Axes,
3rd age druidic staff,Members,7,-1,25,10,0,2,3,1,10,0,32,0,0,6,2,5,Staves,
3rd age longsword,Members,0,72,60,0,0,0,3,2,0,0,75,0,0,0,1,5,Slashing swords,
3rd age pickaxe,Members,38,-2,32,0,0,0,1,0,0,0,42,0,0,0,2.4,5,Pickaxes,
3rd age wand,Members,0,0,0,20,0,0,0,0,20,0,0,0,0,0,3.175,4,Staves,
Abyssal dagger,Members,75,40,-4,1,0,0,0,0,1,0,75,0,0,0,0.453,4,Stabbing swords,
Abyssal tentacle,Members,0,90,0,0,0,0,0,0,0,0,86,0,0,0,0.453,4,Whips,
Abyssal whip,Members,0,82,0,0,0,0,0,0,0,0,82,0,0,0,0.453,4,Whips,
Adamant axe,Free-to-play,-2,17,15,0,0,0,1,0,0,0,19,0,0,0,1.587,5,Axes,
Adamant battleaxe,Free-to-play,-2,31,26,0,0,0,0,0,0,-1,41,0,0,0,3.175,6,Axes,
Adamant cane,Members,13,-2,25,0,0,0,0,0,0,0,23,0,0,3,1.814,5,Spiked weapons,
Adamant crossbow,Members,0,0,0,0,78,0,0,0,0,0,0,0,0,0,6,6,Crossbows,
Adamant dagger,Free-to-play,15,8,-4,1,0,0,0,0,1,0,14,0,0,0,0.51,4,Stabbing swords,
Adamant dart,Members,0,0,0,0,11,0,0,0,0,0,0,10,0,0,0,3,Thrown weapons,
Adamant hasta Karambwan_poison,Members,24,24,24,0,0,-6,-7,-5,0,-6,28,0,0,0,2.721,5,Spears,
Adamant hasta Unpoisoned,Members,24,24,24,0,0,-6,-7,-5,0,-6,28,0,0,0,2.721,5,Spears,
Adamant knife,Members,0,0,0,0,15,0,0,0,0,0,0,14,0,0,0,3,Thrown weapons,
Adamant longsword,Free-to-play,20,29,-2,0,0,0,3,2,0,0,31,0,0,0,2.041,5,Slashing swords,
Adamant mace,Free-to-play,13,-2,25,0,0,0,0,0,0,0,23,0,0,3,2.041,5,Spiked weapons,
Adamant pickaxe,Free-to-play,17,-2,15,0,0,0,1,0,0,0,19,0,0,0,2.721,5,Pickaxes,
Adamant scimitar,Free-to-play,6,29,-2,0,0,0,1,0,0,0,28,0,0,0,2.041,4,Slashing swords,
Adamant sword,Free-to-play,23,18,-2,0,0,0,2,1,0,0,24,0,0,0,2.041,4,Stabbing swords,
Adamant thrownaxe,Members,0,0,0,0,17,0,0,0,0,0,0,23,0,0,0,5,Thrown weapons,
Adamant warhammer,Free-to-play,-4,-4,33,-4,0,0,0,0,0,0,31,0,0,0,2.041,6,Blunt weapons,
Ahrim's staff,Members,12,-1,65,15,0,3,5,2,15,0,68,0,5,0,2.267,6,Staves,
Air battlestaff,Members,7,-1,28,10,0,2,3,1,10,0,35,0,0,0,2.267,5,Staves,
Ale of the gods,Members,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06,4,Unarmed,
Ancient crozier,Members,7,-1,25,10,0,2,3,1,10,0,32,0,0,6,0.005,5,Staves,
Ancient gorilla greegree,Members,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.085,0,Unarmed,
Ancient mace,Members,10,-2,16,0,0,0,0,0,0,0,14,0,0,3,1.814,5,Spiked weapons,
Ancient staff,Members,10,-1,40,15,0,2,3,1,15,0,50,0,0,-1,2.267,4,Staves,
Anger battleaxe,Members,2,2,2,0,0,0,0,0,0,-1,0,0,0,0,2.721,6,Axes,
Anger mace,Members,2,2,2,0,0,0,0,0,0,0,0,0,0,1,1.814,5,Spiked weapons,
Anger sword,Members,2,2,2,0,0,0,2,1,0,0,0,0,0,0,1.814,4,Stabbing swords,
Apprentice wand,Members,0,0,0,10,0,0,0,0,10,0,0,0,0,0,0.255,4,Staves,
Arceuus banner,Members,12,12,12,0,0,1,1,0,0,0,12,0,0,0,2.267,5,Polestaves,
Arclight,Members,10,38,0,0,0,0,3,2,2,0,8,0,0,0,1.814,4,Stabbing swords,
Armadyl crossbow,Members,0,0,0,0,100,0,0,0,0,0,0,0,0,1,6,6,Crossbows,
Armadyl crozier,Members,7,-1,25,10,0,2,3,1,10,0,32,0,0,6,2,5,Staves,
Assorted flowers,Members,-100,-100,-50,0,0,0,0,0,0,0,-10,0,0,0,0.028,4,Blunt weapons,
Axe handle Dragon,Members,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,5,Axes,
Axe handle Standard,Free-to-play,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,5,Axes,
Bandos crozier,Members,7,-1,25,10,0,2,3,1,10,0,32,0,0,6,2,5,Staves,
Banner (Arrav),Members,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.267,4,Banners,
Banner (Asgarnia),Members,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.267,4,Banners,
Banner (Dorgeshuun),Members,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.267,4,Banners,
Banner (Dragon),Members,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.267,4,Banners,
Banner (Fairy),Members,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.267,4,Banners,
Banner (Guthix),Members,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.267,4,Banners,
Banner (HAM),Members,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.267,4,Banners,
Banner (Horse),Members,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.267,4,Banners,
Banner (Jogre),Members,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.267,4,Banners,
Banner (Kandarin),Members,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.267,4,Banners,
Banner (Misthalin),Members,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.267,4,Banners,
Banner (Money),Members,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.267,4,Banners,
Banner (Saradomin),Members,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.267,4,Banners,
Banner (Skull),Members,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.267,4,Banners,
Banner (Varrock),Members,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.267,4,Banners,
Banner (Zamorak),Members,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.267,4,Banners,
Barb-tail harpoon,Members,9,4,-4,0,0,0,0,0,0,0,6,0,0,0,1.36,4,Stabbing swords,
Battlestaff,Members,7,-1,25,10,0,2,3,1,10,0,32,0,0,0,2.267,5,Staves,
Bearded gorilla greegree,Members,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.085,0,Unarmed,
Beginner wand,Members,0,0,0,5,0,0,0,0,5,0,0,0,0,0,0.283,4,Staves,
Birthday balloons,Free-to-play,-100,-100,-50,0,0,0,0,0,0,0,-10,0,0,0,0,4,Blunt weapons,
Black axe,Free-to-play,-2,10,8,0,0,0,1,0,0,0,12,0,0,0,1.36,5,Axes,
Black battleaxe,Free-to-play,-2,20,15,0,0,0,0,0,0,-1,24,0,0,0,2.721,6,Axes,
Black cane,Members,8,-2,16,0,0,0,0,0,0,0,13,0,0,2,1.814,5,Spiked weapons,
Black chinchompa,Members,0,0,0,0,80,0,0,0,0,0,0,30,0,0,0,4,Chinchompas,
Black dagger,Free-to-play,10,5,-4,1,0,0,0,0,1,0,7,0,0,0,0.453,4,Stabbing swords,
Black dart,Members,0,0,0,0,7,0,0,0,0,0,0,6,0,0,0,3,Thrown weapons,
Black flowers,Members,-100,-100,-50,0,0,0,0,0,0,0,-10,0,0,0,0.028,4,Blunt weapons,
Black knife,Members,0,0,0,0,10,0,0,0,0,0,0,8,0,0,0,3,Thrown weapons,
Black longsword,Free-to-play,13,18,-2,0,0,0,3,2,0,0,16,0,0,0,1.814,5,Slashing swords,
Black mace,Free-to-play,8,-2,16,0,0,0,0,0,0,0,13,0,0,2,1.814,5,Spiked weapons,
Black pickaxe,Free-to-play,10,-2,8,0,0,0,1,0,0,0,11,0,0,0,0.01,5,Pickaxes,
Black scimitar,Free-to-play,4,19,-2,0,0,0,1,0,0,0,14,0,0,0,1.814,4,Slashing swords,
Black sword,Free-to-play,14,10,-2,0,0,0,2,1,0,0,12,0,0,0,1.814,4,Stabbing swords,
Black warhammer,Free-to-play,-4,-4,22,-4,0,0,0,0,0,0,19,0,0,0,1.814,6,Blunt weapons,
Blade of saeldor (c),Members,55,94,0,0,0,0,0,0,0,0,89,0,0,0,1.814,4,Slashing swords,
Blade of saeldor Charged,Members,55,94,0,0,0,0,0,0,0,0,89,0,0,0,1.814,4,Slashing swords,
Blade of saeldor Inactive,Members,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.814,4,Slashing swords,
Blessed axe,Members,-2,12,10,0,0,0,1,0,0,0,13,0,0,2,1.162,5,Axes,
Blisterwood flail,Members,30,44,68,8,0,4,4,2,8,0,46,0,0,5,0.001,5,Slashing swords,
Blisterwood sickle,Members,30,38,0,0,0,1,2,2,2,2,32,0,0,5,1.587,5,Slashing swords,
Blue flowers,Members,-100,-100,-50,0,0,0,0,0,0,0,-10,0,0,0,0.028,4,Blunt weapons,
Blurite crossbow,Members,0,0,0,0,30,0,0,0,0,0,0,0,0,0,4,6,Crossbows,
Blurite sword,Free-to-play,9,14,-2,0,0,0,3,2,0,0,10,0,0,0,1.814,5,Slashing swords,
Bone club,Members,-4,-4,16,-4,0,0,0,0,0,0,15,0,0,0,0.907,6,Blunt weapons,
Bone dagger,Members,5,3,-4,1,0,0,0,0,1,0,4,0,0,0,0.453,4,Stabbing swords,
Bone spear,Members,11,11,11,0,0,1,1,0,0,0,13,0,0,0,1.36,6,Spears,
Brine sabre,Members,7,47,-2,0,0,0,0,0,0,0,46,0,0,0,1.814,4,Slashing swords,
Bronze axe,Free-to-play,-2,4,2,0,0,0,1,0,0,0,5,0,0,0,1.36,5,Axes,
Bronze battleaxe,Free-to-play,-2,6,3,0,0,0,0,0,0,-1,9,0,0,0,2.721,6,Axes,
Bronze crossbow,Members,0,0,0,0,18,0,0,0,0,0,0,0,0,0,4,6,Crossbows,
Bronze dagger,Free-to-play,4,2,-4,1,0,0,0,0,1,0,3,0,0,0,0.453,4,Stabbing swords,
Bronze dart,Members,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,3,Thrown weapons,
Bronze fist flag,Members,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.267,4,Banners,
Bronze hasta Karambwan_poison,Members,5,5,5,0,0,-1,-1,-1,0,-1,6,0,0,0,2.267,5,Spears,
Bronze hasta Unpoisoned,Members,5,5,5,0,0,-1,-1,-1,0,-1,6,0,0,0,2.267,5,Spears,
Bronze knife,Members,0,0,0,0,4,0,0,0,0,0,0,3,0,0,0,3,Thrown weapons,
Bronze longsword,Free-to-play,4,5,-2,0,0,0,3,2,0,0,7,0,0,0,1.814,5,Slashing swords,
Bronze mace,Free-to-play,1,-2,6,0,0,0,0,0,0,0,5,0,0,1,1.814,5,Spiked weapons,
Bronze pickaxe,Free-to-play,4,-2,2,0,0,0,1,0,0,0,5,0,0,0,2.267,5,Pickaxes,
